pressure,temperature,humidity,weather_class
1018,3,62,1
1008,9,82,0
994,4,51,1
1022,18,50,0
987,2,99,2
1000,18,99,3
1018,10,33,1
998,20,91,3
1002,21,91,3
990,31,53,1
990,-2,84,1
1003,18,38,2
1015,13,32,0
1019,30,60,0
1003,33,69,3
982,4,65,1
1001,19,53,2
981,12,35,2
1003,13,95,2
1023,30,33,2
1009,4,35,2
1017,27,80,0
981,-1,91,0
1000,29,86,0
1012,28,95,1
991,27,37,3
1001,15,55,2
1023,11,80,1
1004,16,74,2
1028,31,73,0
1006,9,34,1
1021,29,99,0
1007,22,55,2
995,1,97,2
994,26,48,3
1026,5,49,2
1023,4,41,0
982,3,76,2
1016,8,30,3
986,7,43,3
1000,19,93,0
988,-4,67,1
1018,29,66,2
997,1,40,3
983,15,32,2
1004,12,62,2
993,-3,35,1
1029,33,79,3
988,5,39,2
1005,33,34,3
981,18,52,0
999,13,39,0
1007,-2,73,2
1026,20,31,3
986,32,42,2
1023,26,69,3
987,33,31,3
1026,30,94,1
1014,34,92,1
993,31,46,1
996,27,38,2
1015,30,44,1
1029,-3,53,1
1019,3,67,0
983,2,64,3
981,27,78,3
985,0,98,1
1021,33,91,3
983,-2,89,0
1008,7,79,0
997,-4,38,1
1005,-1,63,0
1023,21,64,3
1013,26,30,2
989,15,69,3
1015,2,93,2
993,32,51,1
1010,2,89,2
1027,-3,93,0
994,-3,40,3
987,16,43,2
993,0,89,3
1002,-4,59,1
1019,17,64,1
1000,-4,66,0
995,32,34,1
1024,11,55,2
997,29,91,1
1026,28,33,0
1003,17,71,3
1005,24,47,3
1004,2,69,1
1024,16,68,2
1020,30,43,0
1008,-1,61,2
994,7,80,0
1024,23,67,1
980,25,52,0
1004,10,92,0
986,24,44,1
988,10,54,2
1003,6,46,1
980,11,95,0
1023,10,82,1
987,6,80,0
1003,2,68,1
990,14,80,3
996,-3,99,3
987,10,35,1
1014,24,96,2
1014,17,36,0
1012,22,80,3
984,34,71,2
1021,-1,93,0
1018,14,44,3
1020,34,58,3
1007,-5,62,1
986,24,56,0
988,15,65,2
987,14,58,2
991,0,67,2
1013,16,86,0
1012,12,56,2
1027,2,84,2
1002,33,62,2
1003,26,97,1
1016,27,95,1
1014,10,39,0
1023,6,34,0
1019,32,67,2
1001,28,42,1
1006,8,60,3
1014,30,76,3
980,27,81,2
1014,17,85,2
1016,-4,44,1
1026,15,58,1
993,-4,37,1
982,21,34,0
980,3,58,0
984,-5,76,2
1005,5,97,0
993,-3,74,1
1018,17,31,1
1006,20,56,0
988,-2,65,3
994,12,65,2
994,0,55,3
1005,29,72,2
1021,16,56,3
992,9,98,0
1011,16,49,2
1018,31,40,2
1028,6,67,2
1011,32,35,1
983,12,52,1
1009,29,76,3
1016,24,75,0
1002,18,41,1
1018,24,42,2
1024,8,91,1
994,0,89,0
1022,-3,72,1
1008,10,97,2
1015,1,34,3
992,8,66,2
1011,3,60,0
986,9,38,3
1001,15,80,1
1007,29,58,1
981,-4,69,1
1021,21,70,3
1024,-4,40,2
985,29,52,3
1007,12,30,3
1007,8,75,0
1023,14,50,3
1023,12,65,1
999,4,83,2
1009,19,86,2
990,-4,30,2
1007,19,92,1
1004,27,83,1
1018,30,84,1
1012,25,69,1
980,8,44,1
1006,-5,50,3
992,10,76,1
1020,-3,82,1
982,29,38,1
1018,0,81,1
985,19,86,2
987,7,55,1
1006,28,70,3
988,2,64,3
1016,15,92,3
1012,28,54,0
1021,-2,67,2
1023,19,31,1
1003,9,36,0
994,-2,63,1
1011,6,46,0
1011,26,72,0
1003,26,88,3
1020,22,80,3
1028,7,83,0
1028,25,53,3
991,8,54,0
1018,14,81,2
981,12,99,3
982,23,62,3
1028,0,78,3
1016,26,58,2
1028,23,92,0
996,-4,51,1
1028,17,55,3
981,13,57,0
981,25,78,2
1007,-1,78,1
1002,13,49,3
1016,28,92,2
1011,4,90,2
1012,19,78,1
980,-4,30,0
998,5,42,3
981,25,80,3
1023,9,85,0
1005,3,91,0
1011,17,61,0
985,13,59,1
1011,3,58,1
983,29,78,3
990,15,74,1
996,3,59,2
1017,22,45,3
1003,1,69,1
984,10,48,0
1013,10,47,2
985,27,30,0
1001,-2,76,3
990,-2,95,0
1027,33,67,1
995,34,80,1
1012,11,92,3
988,31,33,0
985,33,30,3
995,23,37,0
1008,30,58,2
982,32,84,1
999,33,32,3
1015,31,61,2
998,29,39,2
1005,1,63,3
982,21,84,3
998,22,61,2
999,16,79,0
1011,8,36,2
986,1,37,3
1020,31,94,2
1012,16,86,0
1019,-1,96,1
1018,-4,88,1
997,21,83,2
1019,15,96,0
980,32,80,1
990,9,37,2
1007,15,63,2
1004,4,64,0
1029,17,61,3
1002,33,75,2
1010,-1,45,3
1009,-5,97,3
1021,7,66,1
1014,15,83,3
986,20,43,0
995,15,84,1
1005,12,77,1
1027,31,36,1
1028,26,36,2
981,30,62,2
980,11,52,3
1027,29,48,1
991,5,48,1
984,15,65,0
1016,20,58,3
1011,-2,89,0
988,28,31,3
1020,12,30,3
1014,34,76,2
998,29,98,2
1027,23,49,0
995,23,40,3
982,32,31,1
999,15,96,2
1003,7,41,1
1012,11,49,0
1003,3,34,2
990,-5,66,2
1028,-4,67,3
987,23,38,0
1015,27,82,3
1017,4,73,2
1019,34,53,0
999,15,59,2
1014,22,88,0
1027,5,43,2
1004,28,38,1
1014,2,69,1
1004,16,95,3
1008,2,54,1
997,9,51,2
1025,11,33,2
997,17,55,1
981,18,87,3
1014,13,58,1
995,-1,66,0
1020,26,99,0
1015,-5,47,0
1012,17,71,1
983,31,70,1
1012,2,67,1
993,7,63,0
1000,2,46,3
1027,17,66,2
999,-5,54,1
987,18,56,3
986,29,86,2
982,18,60,2
996,11,35,2
1012,-1,69,3
1027,14,41,3
991,15,82,0
1001,34,39,3
1001,25,74,3
1025,30,46,3
1009,5,55,2
1017,9,91,1
1017,13,75,0
1024,1,93,1
987,22,31,1
1006,-1,83,3
1006,-1,94,0
1013,24,80,1
1000,26,82,1
1009,2,65,0
1012,4,55,3
1007,32,58,1
1026,26,50,2
1012,22,40,1
984,11,69,2
1027,25,40,3
998,2,65,1
983,34,88,0
1014,19,68,0
1028,3,83,1
996,-4,84,3
1023,9,53,3
1007,-3,51,0
1009,30,98,1
1008,-2,85,3
1025,8,62,0
985,19,65,2
1014,4,49,1
1020,15,91,2
1016,30,55,2
1003,6,95,3
1008,21,69,3
1028,34,46,3
1025,-4,30,1
1010,7,90,2
1014,26,72,1
1012,25,71,3
1000,10,54,2
1011,26,68,1
1002,26,64,1
1012,28,32,0
982,5,73,1
997,4,80,3
1004,9,41,1
1021,11,48,2
1010,34,73,1
982,12,88,0
1019,3,78,2
1025,19,90,2
1003,34,46,0
1029,8,86,3
1011,19,84,2
1026,16,76,3
1001,24,41,2
1002,14,91,2
981,15,37,3
1006,26,50,2
1021,15,99,3
981,29,54,0
1005,26,41,3
996,24,44,0
1019,33,88,2
1012,6,55,3
988,12,55,2
1022,15,76,3
1027,7,61,0
1018,15,39,0
1008,2,45,3
1021,34,46,0
1005,1,52,2
1014,17,55,2
1029,26,36,1
1004,5,43,0
1003,16,36,2
992,16,38,3
986,19,77,0
1015,16,88,2
1024,22,68,0
999,23,47,3
980,7,88,2
987,12,46,1
1025,-4,43,1
995,23,60,0
993,15,53,3
991,9,89,2
1002,21,74,3
994,25,32,2
1007,9,66,0
1013,17,72,2
981,18,69,3
1011,7,84,3
1002,16,68,0
1001,31,44,3
1004,27,33,2
1001,-3,54,0
1001,13,42,2
1028,17,62,3
1021,23,45,0
985,24,71,2
994,33,95,3
1022,19,84,3
1016,31,71,1
1012,2,63,3
987,10,59,2
1023,2,42,0
1023,-5,42,1
984,-1,47,3
1018,-3,61,3
983,-5,68,3
985,-2,75,2
1024,34,58,1
1011,29,91,2
1009,26,91,1
1026,28,86,0
1014,19,45,2
1019,4,85,2
995,15,39,0
992,33,59,1
1029,21,54,3
1021,21,34,0
1009,-4,94,3
998,7,78,3
996,3,32,0
998,30,74,1
1007,16,43,3
1005,20,59,0
1016,6,97,2
1005,11,47,2
1002,8,91,2
988,8,66,0
991,28,54,2
980,14,77,3
980,5,94,2
1026,10,82,2
1013,25,44,3
1011,0,78,2
1027,13,97,3
1004,31,41,2
1019,-2,88,3
1024,-2,66,2
980,14,90,3
995,4,72,0
1018,18,99,3
984,29,68,2
1001,20,85,2
1008,31,92,1
982,32,75,3
991,15,40,0
1005,34,91,3
995,33,54,3
1016,15,81,0
1001,4,33,3
1008,32,88,0
993,-2,49,0
1007,14,92,3
984,11,83,3
1026,1,86,2
1028,-2,70,2
1009,23,32,1
1025,8,35,1
984,-3,34,3
991,18,34,0
995,31,83,1
1005,10,76,3
1005,-2,78,1
1027,18,38,0
1000,28,49,3
1018,24,90,0
1015,12,64,3
1012,13,79,1
1009,25,91,2
1016,13,46,1
1002,13,32,1
989,16,61,2
984,18,42,2
1015,6,97,3
1013,24,43,3
1010,32,40,0
989,25,85,0
998,30,96,1
1011,13,58,2
980,30,38,0
984,24,96,1
1024,27,54,2
983,12,71,3
995,22,38,1
1003,5,69,3
995,27,54,0
981,11,34,0
1028,0,40,2
1007,-2,88,1
1011,14,67,3
1006,21,34,2
999,9,77,0
1003,0,47,0
991,8,99,1
1029,5,66,3
1014,33,89,1
1012,3,77,3
1012,20,57,3
1022,10,98,1
1016,-1,69,2
991,4,74,1
982,-3,91,1
980,7,87,0
1012,24,96,0
1019,0,85,1
989,11,69,1
1022,13,69,0
1023,29,62,3
1008,20,35,1
992,-1,48,2
991,23,69,2
1010,31,88,2
1025,14,88,1
981,15,77,3
1029,4,70,3
1014,-1,42,0
1002,30,74,1
996,0,82,3
1005,20,71,1
987,-2,92,0
1008,33,56,0
1005,33,67,0
989,29,89,2
1005,-5,36,1
1013,18,34,0
1020,30,74,1
986,0,87,2
983,25,60,2
1029,14,52,0
1024,18,71,0
990,19,39,3
1008,30,61,1
1015,15,82,0
1004,24,59,3
1000,18,68,1
1015,24,60,0
989,16,31,3
1016,22,41,3
988,1,68,1
1003,29,95,3
1014,22,42,1
1028,8,75,1
1014,4,56,1
1027,10,46,2
1015,10,89,3
997,25,93,1
1028,19,64,0
1018,7,99,2
1011,0,59,2
1003,3,92,3
1002,30,57,1
1011,14,89,3
1016,12,66,2
991,15,51,1
1028,-2,97,0
992,27,49,1
1002,21,97,2
1004,1,93,0
1014,0,46,1
1020,9,41,0
1009,12,51,0
996,26,46,2
1028,5,39,0
999,14,94,3
1027,18,51,2
1004,9,79,3
1001,1,43,0
992,15,93,3
998,20,76,1
1028,8,58,0
1015,31,65,1
991,15,81,3
1020,12,36,1
998,-1,58,0
991,-3,40,1
988,17,62,3
986,20,35,3
1007,31,61,3
993,18,80,0
1010,13,87,3
998,19,55,0
1026,15,75,1
995,6,58,3
984,27,33,1
1014,-2,42,2
991,1,68,1
1004,16,44,2
1000,27,58,1
1015,11,58,0
1002,18,61,1
995,28,31,0
1018,22,76,0
1024,33,51,3
1021,16,56,0
1018,11,96,2
993,28,85,3
1010,0,50,3
984,0,76,1
1014,28,88,0
1002,-5,35,0
1008,4,48,2
1022,15,86,1
990,-1,98,1
997,-4,32,3
1026,16,30,3
991,-4,87,3
988,4,67,2
989,28,44,2
1023,10,63,3
996,33,90,1
1017,16,64,2
986,6,93,1
1025,18,54,1
992,34,53,0
1019,32,41,3
1021,4,47,0
988,29,44,3
1029,26,56,3
1006,1,89,1
981,15,75,3
984,14,46,1
1008,20,82,1
1016,-2,37,3
1017,16,56,1
998,9,75,1
987,34,79,1
1027,15,32,2
1024,9,93,1
980,16,73,2
1001,22,82,2
996,8,53,1
986,21,89,1
1004,34,32,2
1024,22,49,2
983,20,75,1
1015,-4,44,1
985,19,54,3
1010,-3,46,2
998,2,38,2
1023,27,67,3
1018,29,77,2
1006,0,89,0
